,Aerospin,AtmosFear,Balder,Barnens paradis,Blomsterkarusellen,Bushållplatsen,Cyklonen,Drakbåtarna,Farfars Bil,Fisketuren,FlumeRide,Flygande elefanter,Flygis,Hanghai,Helix,Hissningen,Hoppalång,Högspänningen,JukeBox,Kaffekoppen,Kaninlandsbanan,Kaninresan,Kristallsalongen,Kållerado,Lilla Lots,Lisebergbanan,Lisebergshjulet,Loke,Mechanica,Rabalder,Radiobilarna,Skepp o skoj,Slänggungan,Spökhotellet Gasten,Stampbanan,Tuta & Kör,Uppswinget,Valkyria,Virvelvinden
2019-08-30 19:15:04,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 19:20:05,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 19:25:04,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 19:30:05,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 19:35:04,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,30.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 19:40:05,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 19:45:04,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 19:50:04,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 19:55:05,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
2019-08-30 20:00:04,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
